Média (pesos);RC;Área Aberta;Vegetação Secundária;BR 163;Proximidade a área urbana;Estradas vicinais;Tamanho dos imóveis;Imóveis certificados;Declividade;Rios ;Assentamento;Embargo;Floresta;Unidade de Conservação;Terra Indígena;;;
735;0,098561852;0,200507659;0,142131039;0,152928646;0,098124115;0,082632885;0,074455327;0,067901754;0,045336094;0,044374373;0,030868262;0,025452007;0,015711534;0,010800288;0,008776017;;;
710;0,098561182;0,191899439;0,149354266;0,146592715;0,097831911;0,087002701;0,077323434;0,069709598;0,044009123;0,044330226;0,031587827;0,024842053;0,015205821;0,011405502;0,008905385;;;
117;0,098553361;0,193853438;0,149786016;0,144671581;0,09628203;0,091710236;0,076126723;0,066125888;0,046022694;0,043187662;0,032035889;0,025024034;0,01553603;0,01072251;0,008915268;;;
89;0,098551858;0,197750958;0,143356117;0,148614964;0,097751734;0,088563247;0,075896103;0,069184353;0,045608599;0,042405829;0,03056759;0,025401949;0,014900774;0,011158239;0,008839544;;;
459;0,098551172;0,205479687;0,145624335;0,144370955;0,09142931;0,085757763;0,079604007;0,067539751;0,046892189;0,043289208;0,030547416;0,024356867;0,01545877;0,010961121;0,008688623;;;
596;0,098533996;0,202083245;0,145982902;0,139879066;0,100975045;0,089114965;0,075280339;0,068907006;0,044639986;0,043605037;0,030308836;0,024588143;0,014858815;0,011255162;0,008521453;;;
686;0,098503236;0,202724514;0,139638488;0,152081581;0,097515162;0,08508472;0,079315552;0,06506621;0,04453143;0,043385878;0,030686279;0,025425407;0,014915098;0,010974865;0,008654815;;;
951;0,09849995;0,197862456;0,143585562;0,152861766;0,095607963;0,086689898;0,073765782;0,068797658;0,044042633;0,04616528;0,030700229;0,024768529;0,014868756;0,01142445;0,008859036;;;
394;0,098480349;0,193429182;0,150783621;0,147701382;0,098216938;0,083139648;0,077159333;0,069290439;0,044972408;0,044073496;0,031767792;0,024594553;0,014821736;0,011180379;0,008869094;;;
876;0,098472716;0,204532618;0,148075352;0,1427099;0,097004899;0,089558347;0,073357344;0,065283543;0,044566183;0,042501937;0,032460147;0,025223236;0,014926373;0,010836241;0,00896388;;;
375;0,09846581;0,200036379;0,145841986;0,146105447;0,101493959;0,080648512;0,080069586;0,065887357;0,044963741;0,043101416;0,031356424;0,025944771;0,014700408;0,011014833;0,008835181;;;
224;0,098432012;0,207178165;0,142616767;0,141959894;0,103706491;0,084634385;0,074448927;0,065447707;0,044702856;0,044640439;0,031520027;0,024582738;0,014943649;0,01088729;0,008730665;;;
645;0,098404756;0,202750477;0,146404023;0,142710129;0,101159991;0,085899;0,077226464;0,064956264;0,04625226;0,041798129;0,030803196;0,025268148;0,01534125;0,010983941;0,008446728;;;
463;0,098398879;0,203642421;0,142410255;0,144283579;0,100992597;0,084239413;0,078201488;0,068007573;0,044970128;0,042921002;0,031091401;0,024815391;0,014831394;0,010732789;0,00886057;;;
409;0,098391371;0,200595395;0,142220553;0,149106794;0,107051288;0,087635905;0,07261146;0,062070259;0,043979952;0,043840791;0,032110662;0,024505196;0,014653743;0,010808818;0,008809186;;;
480;0,098387581;0,200024516;0,145324654;0,151392196;0,09355152;0,082875097;0,080570389;0,065313821;0,043201328;0,04597894;0,031106715;0,025121003;0,015590108;0,011297647;0,008652066;;;
851;0,098374314;0,200687648;0,146628021;0,143782058;0,101272515;0,081698159;0,079049211;0,065444575;0,045249561;0,044894072;0,031303378;0,025165867;0,0153044;0,010500529;0,009020006;;;
713;0,098371371;0,20078211;0,138703485;0,147161689;0,110036399;0,084042477;0,076369226;0,065906488;0,044355377;0,04248641;0,031040103;0,024809948;0,014654108;0,010865257;0,008786924;;;
825;0,098363389;0,203522523;0,147090512;0,150497047;0,093344048;0,08775329;0,070989391;0,06802786;0,044837586;0,043540762;0,030859066;0,024479682;0,015280191;0,01114366;0,008634381;;;
648;0,098362335;0,199645898;0,143658097;0,153279725;0,096358164;0,090034053;0,069589637;0,066326889;0,045839512;0,043546023;0,031683946;0,025496482;0,014893074;0,010968115;0,008680384;;;
615;0,098361712;0,205983184;0,139196026;0,148604239;0,090778146;0,089993202;0,078855816;0,064846968;0,044973043;0,04522204;0,031427427;0,024824903;0,01515353;0,011326306;0,008815171;;;
377;0,098321503;0,195738578;0,151717582;0,144171809;0,098201126;0,082898313;0,07741006;0,068446423;0,044512949;0,044055896;0,032628767;0,024964131;0,015286986;0,011234433;0,008732947;;;
100;0,09831928;0,203212819;0,141093213;0,149749635;0,099560683;0,086760678;0,076200662;0,063236112;0,044860537;0,044013537;0,030283757;0,025914695;0,015447738;0,011022773;0,008643162;;;
292;0,098304003;0,201040702;0,147846266;0,148005687;0,100316409;0,083084547;0,075486361;0,064682218;0,04361351;0,043287869;0,03111587;0,025730518;0,015502078;0,011313486;0,00897448;;;
416;0,09830202;0,197412992;0,147500201;0,150003313;0,095828349;0,083988727;0,076636749;0,067699251;0,045501601;0,043973829;0,031266691;0,025502996;0,014977667;0,011030344;0,008677289;;;
21;0,098297996;0,200763492;0,145864293;0,14933528;0,096064235;0,083638251;0,078316793;0,063936371;0,046804559;0,043474822;0,032430743;0,024899323;0,01468324;0,010759913;0,009028684;;;
907;0,098294337;0,203691188;0,145162166;0,141106318;0,098905465;0,086288663;0,075883687;0,066831436;0,047887274;0,043209646;0,031261346;0,024808898;0,015095441;0,011045677;0,008822796;;;
549;0,098271913;0,195500155;0,145899085;0,147513176;0,103399035;0,090136071;0,072713383;0,065791199;0,043963776;0,043321692;0,032052843;0,025368678;0,014610583;0,010963084;0,00876724;;;
435;0,098269869;0,201334621;0,149831003;0,137858135;0,104162228;0,082975527;0,081874444;0,063762719;0,043376037;0,043863639;0,031400036;0,024512922;0,015596815;0,0107144;0,008737474;;;
108;0,098250657;0,205709282;0,148785513;0,141947097;0,097156477;0,083436438;0,075640732;0,066257792;0,045386365;0,04465063;0,031726821;0,023992577;0,015100164;0,011361695;0,008848418;;;
304;0,098234829;0,196992225;0,149358212;0,138094852;0,106964453;0,081788509;0,079713591;0,065805462;0,045328203;0,044834214;0,030215694;0,02579838;0,014952305;0,011328663;0,008825236;;;
953;0,09823464;0,203697898;0,143353102;0,149763909;0,09574437;0,086291337;0,0747302;0,066255106;0,045092427;0,044071319;0,031177879;0,025108797;0,014679918;0,011184826;0,008848913;;;
